acronym,volume,edition_date,shelf_number,country,dates,pages,id,source_name,source_author,source_URL,notes,reference,type,notes
WdW,1(2),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,43-46,"currency_Schneider et al (1991), vol I, II, London on Madrid, 3 months, pp. 43-46 and parity 1 Peseta=4 reales",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,,Währungen der Welt,estimation,
WdW,1(2),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,43-46,"currency_Schneider et al (1991), vol I, II, London on Madrid, 3 months, pp. 43-46, and parities: 1 Ecu=10 reales; 1 Peseta=4 reales",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,,Währungen der Welt,estimation,
WdW,1(2),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,43-46,"currency_Schneider et al (1991), vol I, II, London on Madrid, 3 months, pp. 43-46.",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,,Währungen der Welt,estimation,
WdW,1(2),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,17-18,"currency_Schneider et al (1991), vol I, II, London on Rotterdam, pp. 17-18.",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,Gulden flämisch Banco,Währungen der Welt,estimation,
WdW,1(2),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,61-66,"currency_Schneider et al (1991), vol. I,II, pp.  61-66; London on Lissabon, 60 days (1790-1850) and 3 months (1851-1913).",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,,Währungen der Welt,estimation,
WdW,2,1997,,Europäische und Nordamerikanische Devisenkurze,1914-1951,30,"currency_Schneider et al (1997), vol II, London on Paris, p. 30.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,2,1997,,Europäische und Nordamerikanische Devisenkurze,1914-1951,33,"currency_Schneider et al (1997), vol II, p. 33.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,2,1997,,Europäische und Nordamerikanische Devisenkurze,1914-1951,37,"currency_Schneider et al (1997), vol II, p. 37.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,1(1),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,362-363,"currency_Schneider et al. (1991), vol I, I, New York on Bremen, 60 Tage, p. 362-363 and US dollar constant exchange rate.",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,,Währungen der Welt,estimation,
WdW,1(1),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,362-363,"currency_Schneider et al. (1991), vol I, I, New York on Bremen, 60 Tage, p. 362-363 and US dollar exchange rate.",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,"See Annales du commerce extérieur, Villes anséatiques, FC12; Annales du commerce extérieur, Villes anséatiques, FC17; 1 thaler de Brême = 4fr15c",Währungen der Welt,estimation,
WdW,1(2),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,35-39,"currency_Schneider et al. (1991), vol I, II, London on Antwerpen, drei Monate, p. 35-39.",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,,Währungen der Welt,estimation,
WdW,1(2),1991,,Europäische und Nordamerikanische Devisenkurze,1777-1914,339-341,"currency_Schneider et al. (1991), vol I, II, Paris on Berlin, 90 Tage, pp. 339-341 & Schneider et al. (1991), pp. 203-207.",Währungen der Welt,"Schneider J, Schwarzer O. & F. Zellfelder",,,Währungen der Welt,estimation,
WdW,2,1997,,Europäische und Nordamerikanische Devisenkurze,1914-1951,67-68,"currency_Schneider et al. (1997), II, pp. 67-68. London on St. Petersburg.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,"Tscherwonetz,New Rubel",Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,212,"currency_Schneider et al. (1997), vo. VII, p. 212.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,Buenos Aires sur London 60 Tage,Währungen der Welt,estimation,
WdW,2,1997,,Europäische und Nordamerikanische Devisenkurze,1914-1951,35,"currency_Schneider et al. (1997), vol II, p. 35.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,2,1997,,Europäische und Nordamerikanische Devisenkurze,1914-1951,41,"currency_Schneider et al. (1997), vol II, p. 41.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,2,1997,,Europäische und Nordamerikanische Devisenkurze,1914-1951,50,"currency_Schneider et al. (1997), vol II, p. 50.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,49-50,"currency_Schneider et al. (1997), vol VII, p. 49-50.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,1 Peso = 5 Bolivares,Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,212-213,"currency_Schneider et al. (1997), vol. VII, p. 212-213.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,Buenos Aires sur London 60 Tage,Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,214,"currency_Schneider et al. (1997), vol. VII, p. 214.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,Buenos Aires on London 60 Tage,Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,215-216,"currency_Schneider et al. (1997), vol. VII, p. 215-216.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,"Buenos Aires on London, 90 Tage. Cf. Statistical Abstract for principal and other Foreign Countries : 1 peso nacional = 1 peso gold = 4 s",Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,217-218,"currency_Schneider et al. (1997), vol. VII, p. 217-218.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,"Buenos Aires on London, 90 Tage",Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,40,"currency_Schneider et al. (1997), vol. VII, p. 40.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,"In 1826, a British consular report indicated 48 pence for 1 peso.,In Lima 1850, 1 peso was reported between 45 1/2 and 46 1/2 pence.",Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,41,"currency_Schneider et al. (1997), vol. VII, p. 41.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,"Soles de Oro was introduced in 1863. 1 peso = 4/5 Sol.,In Lima 1873, 1 Sol = 44 Pence Sterling.",Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,45,"currency_Schneider et al. (1997), vol. VII, p. 45.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,7,1997,,Lateinamerikanische Devisenkurze im 19. und 20. Jahrhundert ,19th-20th,47,"currency_Schneider et al. (1997), vol. VII, p. 47.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
WdW,,1997,,,,90,"currency_Schneider et al. (1997), p. 90.",Währungen der Welt,"Schneider J, Schwarzer O. & Denzel M.",,,Währungen der Welt,estimation,
SY,,,,,,,currency_Statesman's Yearbook,Statesman's Yearbook,,,Venezuela same as Colombia. 1 Peso = 5 Bolivares. 1 Venezolano = 4s. 1 Venezolano = 5 Bolivares,Statesman's Yearbook,secondary,
SY,,,,,1880,,currency_Statesman's Yearbook 1880,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1881,,currency_Statesman's Yearbook 1881,Statesman's Yearbook,,,Same as Honduran Gold Peso,Statesman's Yearbook,secondary,
SY,,,,,1882,,currency_Statesman's Yearbook 1882,Statesman's Yearbook,,,Same as Honduran Gold Peso,Statesman's Yearbook,secondary,
SY,,,,,1883,,currency_Statesman's Yearbook 1883,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1884,,currency_Statesman's Yearbook 1884,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1885,,currency_Statesman's Yearbook 1885,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1886,,currency_Statesman's Yearbook 1886,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1887,,currency_Statesman's Yearbook 1887,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1888,,currency_Statesman's Yearbook 1888,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1889,,currency_Statesman's Yearbook 1889,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1890,,currency_Statesman's Yearbook 1890,Statesman's Yearbook,,,,Statesman's Yearbook,secondary,
SY,,,,,1895,,currency_Statesman's Yearbook 1895,Statesman's Yearbook,,,Same as Honduran Gold Peso,Statesman's Yearbook,secondary,
SY,,,,,1896,,currency_Statesman's Yearbook 1896,Statesman's Yearbook,,,Same as Honduran Gold Peso,Statesman's Yearbook,secondary,
SA-FC,,,,,,,currency_Statistical Abstract for the Principal and other Foreign Countries,Statistical Abstract for the principal and other Foreign Countries,,,1 Peso Gold = 4 sh.,Statistical Abstract Foreign Countries,secondary,
SA-FC,,,,,,,currency_Statistical Abstract for the principal and other Foreign countries,Statistical Abstract for the principal and other Foreign Countries,,,"1 Milreis = 2s 0 7/10d,1 Milreis = 2s 3d",Statistical Abstract Foreign Countries,secondary,
SA-FC,,,,,,,"currency_Statistical Abstract for the principal and other Foreign Countries Denzel (2010), 485.",Statistical Abstract for the principal and other Foreign Countries,,,,Statistical Abstract Foreign Countries,secondary,
SA-FC,18,,,,1880-1889/90,,currency_Statistical Abstract for the principal and other foreign countries in each year from 1880 to 1889-90 (n° 18).,Statistical Abstract for the principal and other Foreign Countries,,,,Statistical Abstract Foreign Countries,secondary,
OUPS,,2010,,,,285-289,currency_Use 1789 exchange rate.,Use 1789 exchange rate.,,,,Denzel,OUPS,
OUPS,"vol. 5, Serie Ee612.",2006,,,,,currency_Use 1791 exchange rate.,Use 1791 exchange rate.,,,,Carter et al. ,OUPS,
OUPS,,2010,,,,285-289,currency_Use 1801 exchange rate.,Use 1801 exchange rate.,,,,Denzel,OUPS,
OUPS,7,1997,,,,49_50,currency_Use 1842 exchange rate.,Use 1842 exchange rate.,,,,Schneider et al.,OUPS,
OUPS,,2010,,,,594-595,currency_Use 1844 exchange rate.,Use 1844 exchange rate.,,,,Denzel,OUPS,
OUPS,,2010,,,,393-395,currency_Use 1853 exchange rate.,Use 1853 exchange rate.,,,,Denzel,OUPS,
OUPS,,2010,,,,603-605,currency_Use 1884 exchange rate.,Use 1884 exchange rate.,,,,Denzel,OUPS,
OUPS,,1997,,,,50,currency_Use Colombian Peso exchange rate.,Cf. Colombian Peso,,,"See Schneider et al. (1997), vol VII, p. 50. Venezuela same as Colombia. 1 Peso = 5 Bolivares",Schneider et al.,OUPS,
OUPS,,1938-12-01,,,,,"currency_Use exchange rate 1837 : Extraits d'Avis Divers, XXXVI, Décembre 1838.",Cf. Cuban Peso 1837,,,1 piastre = 5 fr.," Extraits d'Avis Divers, XXXVI, Décembre 1838.",OUPS,
OUPS,7,1997,,,,40,currency_Use exchange rate in 1826.,Use exchange rate in 1826.,,,,Schneider et al.,OUPS,
OUPS,,,,,,,"currency_use exchange rate in 1841: Documents sur le commerce extérieur. Amérique Latine. Pérou Faits commerciaux. N° 1, 3 [BNF : LC5-138 (An)]",use exchange rate in 1841,,,,"Documents sur le commerce extérieur. Amérique Latine. Pérou Faits commerciaux. N° 1, 3 [BNF : LC5-138 (An)]",OUPS,
OUPS,,1997,,,,42,currency_Use exchange rate in 1842.,Use exchange rate in 1842.,,,,Schneider et al.,OUPS,
OUPS,,,,,,,currency_use exchange rate in 1845: Annales du commerce extérieur. Indes orientales anglaises. Faits commerciaux n° 5. BNF : LC5-138 (CI).,use exchange rate in 1845,,,,Annales du commerce extérieur. Indes orientales anglaises. Faits commerciaux n° 5. BNF : LC5-138 (CI).,OUPS,
OUPS,7,1997,,,,40,currency_Use exchange rate in 1850.,Use exchange rate in 1850.,,,,Schneider et al.,OUPS,
OUPS,,,,,,,currency_use exchange rate in 1851: Annales du commerce extérieur. Venezuela. Faits commerciaux n° 8 . BNF : LC5-138 (AD),use exchange rate in 1851,,,,Annales du commerce extérieur. Venezuela. Faits commerciaux n° 8 . BNF : LC5-138 (AD),OUPS,
OUPS,7,1997,,,,41,currency_Use exchange rate in 1863.,Use exchange rate in 1863.,,,,Schneider et al.,OUPS,
OUPS,7,1997,,,,41,currency_Use exchange rate in 1873.,Use exchange rate in 1873.,,,,Schneider et al.,OUPS,estimation
OUPS,7,1997,,,,41,currency_Use exchange rate in 1898.,Use exchange rate in 1898.,,,,Schneider et al.,OUPS,
OUPS,,,,,,,currency_Use exchange rate in 1926.,Use exchange rate in 1926.,,,,SOURCES TO BE FIXED,OUPS,
OUPS,,,,,,,currency_Use exchange rate in 1928.,Use exchange rate in 1928.,,,"Egyptian pound was in circulation.,Egyptian pound was in circulation.",SOURCES TO BE FIXED,OUPS,
OUPS,"5, Serie Ee612",2006,,,,,currency_Use parity 1934.,Use parity 1934.,,,,Carter et al. ,OUPS,
OUPS,,,,,,,currency_Use parity.,Use parity.,,,,SOURCES TO BE FIXED,OUPS,
OUPS,,1997,,,,90,"currency_Use Peso / £ parity in 1832 : cf. Schneider et al. (1997), p. 90.",Cf. Cuban Peso 1832,,,"Use Peso / £ parity in 1832 : cf. Schneider et al. (1997), p. 90.",Schneider et al.,OUPS,
HS-PGL,,2001,,,,745,"currency_Valério (2001), p. 745.",Portuguese Historical Statistics,"Valério N., ed.",,,Portuguese Historical Statistics,estimation,
ER-ASI,,,,,,,"currency_Van der Eng's database (Exchange Rates in Asia, 1830-2003)","Exchange Rates in Asia, 1830-2003 (unpublished)",Van der Eng P.,,1830 exchange rate,Exchange Rate Asia,estimation,
ACE-3,3,sept. 1844,BNF: LC5-138 (AJ) 1843-1847 (N 1-13),Autriche,,,"Département de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 218. Faits Commerciaux N° 3. Paris, septembre 1844. Cote BNF: LC5-138 (AJ)1843-1847 (N 1-13)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,août 1845,BNF: LC5-138 (BK) 1844/05-1859/10 (N 1-14),Espagne,,,"Département de l'Agriculture, du Commerce et des Travaux Publics. Annales du Commerce Extérieur. 3ème série des avis divers N° 282. Faits Commerciaux N° 2. Paris, août 1845. Cote BNF: LC5-138 (BK)1844/05-1859/10 (N 1-14)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
BSG-FR,XXIII(III),Avril-Juin 1934,,,,,"Depoid Pierre, (Avril 1934), Le commerce des territoires français d'outre-mer, Bulletin de la Statistique Générale de la France, Archive INSEE, Paris",Bulletin de la Statistique Générale de la France,Depoid P.,,Le commerce des territoires français d'outre-mer,Bulletin Statistique France,secondary,
ACE-3,1,août 1844,BNF: LC5-138 (AB),Algérie,,,Documents sur le commerce extérieur. Algérie. Faits commerciaux n°1 (août 1844). 3ème série des Avis divers. BNF : LC5-138 (AB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (AN),"Bolivie, Equateur, Pérou",,,Documents sur le commerce extérieur. Amérique Latine. Equateur Faits commerciaux. N° 2 [BNF : LC5-138 (An)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (AN),"Bolivie, Equateur, Pérou",,,Documents sur le commerce extérieur. Amérique Latine. Equateur Faits commerciaux. N° 4  [BNF : LC5-138 (An)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (AN),"Bolivie, Equateur, Pérou",,,Documents sur le commerce extérieur. Amérique Latine. Equateur Faits commerciaux. N° 6  [BNF : LC5-138 (An)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (AN),"Bolivie, Equateur, Pérou",,,Documents sur le commerce extérieur. Amérique Latine. Pérou Faits commerciaux. N° 1 [BNF : LC5-138 (An)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (AN),"Bolivie, Equateur, Pérou",,,Documents sur le commerce extérieur. Amérique Latine. Pérou Faits commerciaux. N° 3 [BNF : LC5-138 (An)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (AH),Association allemande,,,Documents sur le commerce extérieur. Association allemande. Faits commerciaux n° 4.  BNF [LC5-138(AH)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (AH),Association allemande,,,Documents sur le commerce extérieur. Association allemande. Faits commerciaux. N° 1 [BNF : LC5-138 (AH)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (AH),Association allemande,,,Documents sur le commerce extérieur. Association allemande. Faits commerciaux. N° 10. BNF : LC5-138 (AH),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (AH),Association allemande,,,Documents sur le commerce extérieur. Association allemande. Faits commerciaux. N° 5 [BNF : LC5-138 (AH)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (AH),Association allemande,,,Documents sur le commerce extérieur. Association allemande. Faits commerciaux. N° 6 [BNF : LC5-138 (AH)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (AH),Association allemande,,,Documents sur le commerce extérieur. Association allemande. Faits commerciaux. N° 9 [BNF : LC5-138 (AH)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 1 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 10 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 11  [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,12,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 12 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 13  [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,15,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 15  [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,16,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 16 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,17,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 17 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,18,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 18 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,19,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 19 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 2 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,20,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 20 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 4 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 5 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 6 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (AP),Brésil,,,Documents sur le commerce extérieur. Brésil. Faits commerciaux. N° 7 [BNF : LC5-138 (AP)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (D),Colombie,,,Documents sur le commerce extérieur. Colombie Faits commerciaux. N° 13 [BNF : LC5-138 (D)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,Documents sur le commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux. N° 11 [BNF : LC5-138 (AV)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,12,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,Documents sur le commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux. N° 12 [BNF : LC5-138 (AV)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,16,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,Documents sur le commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux. N° 16 [BNF : LC5-138 (AV)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,17,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,Documents sur le commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux. N° 17 [BNF : LC5-138 (AV)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,18,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,Documents sur le commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux. N° 18 [BNF : LC5-138 (AV)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (AV),Colonies anglaises d'Afrique,,,Documents sur le commerce extérieur. Colonies anglaises d'Afrique. Faits commerciaux. N° 4 [BNF : LC5-138 (AV)],Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
